1102867;44346
1102867;1278
1102867;96363
1102867;60748
1102867;43885
1102867;101610
1102867;44196
1102867;7096
1102867;48723
1102867;60223
1102867;43898
1102867;54279
1102867;44259
1102867;51984
1102867;54564
1102867;101003
1102867;44301
1102867;101569
1102867;96649
1102867;101103
1102867;48508
1102867;55223
1102867;99908
1102867;101401
1102867;47884
1102867;47687
1102867;55667
1102867;49833
1102867;57311
1102867;3568
1102867;101220
1102867;44284
1102867;53761
1102867;48286
1102867;96201
1102867;48742
1102867;44203
1102867;95341
1102867;48755
1102867;47413
1102867;96788
1102867;44106
1102867;56976
1102867;47268
1102867;43999
1102867;96534
1102867;101086
1102867;100148
1102867;104047
1102867;96547
1102867;43434
1102867;43952
1102867;1676
1102867;102855
1102867;1600
1102867;1909
1102867;54825
1102867;96514
1102867;47759
1102867;104509
1102867;60244
1102867;102093
1102867;48982
1102867;55507
1102867;101882
1102867;96795
1102867;47432
1102867;43907
1102867;49399
1102867;49312
1102867;54767
1102867;54570
1102867;44330
1102867;95333
1102867;102367
1102867;55065
1102867;43827
1102867;524
1102867;1176
1102867;59348
1102867;101506
1102867;101962
1102867;96526
1102867;96313
1102867;4882
1102867;44312
1102867;95611
1102867;47387
1102867;43426
1102867;50755
1102867;272
1102867;95876
1102867;56370
1102867;49956
1102867;42998
1102867;96627
1102867;44209
1102867;5593
1102867;102009
1102867;96681
1102867;43917
1102867;43783
1102867;43841
1102867;43546
1102867;56439
1102867;95870
1102867;4820
1102867;55331
1102867;49840
1102867;96269
1102867;43007
1102867;100019
1102867;96652
1102867;57689
1102867;3100
1102867;96444
1102867;47897
1102867;3297
1102867;43137
1102867;100442
1102867;96783
1102867;8000
1102867;2364
1102867;96375
1102867;60274
1102867;49445
1102867;44089
1102867;43524
1102867;97720
1102867;101754
1102867;99968
1102867;42933
1102867;96328
1102867;56074
1102867;60567
1102867;96392
1102867;10672
1102867;50029
1102867;54977
1102867;2398
1102867;8987
1102867;50058
1102867;47467
